parametername,parameterid,fixfit,Parameter.class,Parameter.description,Model.guild.or.feature
thik_so,1,5,Physical configuration,Vertical thickness,Offshore zone upper layer
thik_d,2,5,Physical configuration,Vertical thickness,Offshore zone lower layer
thik_si,3,5,Physical configuration,Vertical thickness,Inshore zone
thik_b,4,5,Physical configuration,Vertical thickness,Benthic boundary feeding layer
porosity_s1,28,5,Physical configuration,Sediment porosity,Inshore muddy sediments
porosity_s2,29,5,Physical configuration,Sediment porosity,Inshore sandy sediments
porosity_s3,30,5,Physical configuration,Sediment porosity,Inshore coarse sediments
porosity_d1,31,5,Physical configuration,Sediment porosity,Offshore muddy sediments
porosity_d2,32,5,Physical configuration,Sediment porosity,Offshore sandy sediments
porosity_d3,33,5,Physical configuration,Sediment porosity,Offshore coarse sediments
sed_wat_dif_s1,34,5,Physical configuration,Hydraulic conductivity,Inshore muddy sediments
sed_wat_dif_s2,35,5,Physical configuration,Hydraulic conductivity,Inshore sandy sediments
sed_wat_dif_s3,36,5,Physical configuration,Hydraulic conductivity,Inshore coarse sediments
sed_wat_dif_d1,37,5,Physical configuration,Hydraulic conductivity,Offshore muddy sediments
sed_wat_dif_d2,38,5,Physical configuration,Hydraulic conductivity,Offshore sandy sediments
sed_wat_dif_d3,39,5,Physical configuration,Hydraulic conductivity,Offshore coarse sediments
sed_ref_Kxw,40,5,Physical configuration,Hydraulic conductivity,Reference value for sediment-dependent processes
bioturb_depth_s1,41,5,Physical configuration,Bioturbation depth,Inshore muddy sediments
bioturb_depth_s2,42,5,Physical configuration,Bioturbation depth,Inshore sandy sediments
bioturb_depth_s3,43,5,Physical configuration,Bioturbation depth,Inshore coarse sediments
bioturb_depth_d1,44,5,Physical configuration,Bioturbation depth,Offshore muddy sediments
bioturb_depth_d2,45,5,Physical configuration,Bioturbation depth,Offshore sandy sediments
bioturb_depth_d3,46,5,Physical configuration,Bioturbation depth,Offshore coarse sediments
erosion_depth_s1,47,5,Physical configuration,Physical disturbance depth,Inshore muddy sediments
erosion_depth_s2,48,5,Physical configuration,Physical disturbance depth,Inshore sandy sediments
erosion_depth_s3,49,5,Physical configuration,Physical disturbance depth,Inshore coarse sediments
erosion_depth_d1,50,5,Physical configuration,Physical disturbance depth,Offshore muddy sediments
erosion_depth_d2,51,5,Physical configuration,Physical disturbance depth,Offshore sandy sediments
erosion_depth_d3,52,5,Physical configuration,Physical disturbance depth,Offshore coarse sediments
lightSPM_intercept,53,5,Physical configuration,Intercept,Light attenuation coefficient vs SPM
lightSPM_slope,54,5,Physical configuration,Coefficient,Light attenuation coefficient vs SPM
inshore_phyt_prop_depth,55,5,Physical configuration,Proportion of depth range occupied,Phytoplankton inshore
inshore_kelp_prop_depth,56,5,Physical configuration,Proportion of depth range occupied,Macrophytes inshore
F_inshore_pelagic,57,3,Harvest ratio,Harvest ratio inshore,Planktivorous fish
F_offshore_pelagic,58,3,Harvest ratio,Harvest ratio offshore,Planktivorous fish
F_inshore_demersal,59,3,Harvest ratio,Harvest ratio inshore,Demersal fish
F_offshore_demersal,60,3,Harvest ratio,Harvest ratio offshore,Demersal fish
F_inshore_migratory,61,3,Harvest ratio,Harvest ratio inshore,Migratory fish
F_offshore_migratory,62,3,Harvest ratio,Harvest ratio offshore,Migratory fish
F_inshore_filtben,63,3,Harvest ratio,Harvest ratio inshore,Suspension/deposit feeding benthos
F_offshore_filtben,64,3,Harvest ratio,Harvest ratio offshore,Suspension/deposit feeding benthos
F_inshore_carnben,65,3,Harvest ratio,Harvest ratio inshore,Carnivore/scavenge feeding benthos
F_offshore_carnben,66,3,Harvest ratio,Harvest ratio offshore,Carnivore/scavenge feeding benthos
F_inshore_carnzoo,67,3,Harvest ratio,Harvest ratio inshore,Carnivorous zooplankton
F_offshore_carnzoo,68,3,Harvest ratio,Harvest ratio offshore,Carnivorous zooplankton
F_inshore_bird,69,3,Harvest ratio,Harvest ratio inshore,Birds
F_offshore_bird,70,3,Harvest ratio,Harvest ratio offshore,Birds
F_inshore_seal,71,3,Harvest ratio,Harvest ratio inshore,Pinnipeds
F_offshore_seal,72,3,Harvest ratio,Harvest ratio offshore,Pinnipeds
F_inshore_ceta,73,3,Harvest ratio,Harvest ratio inshore,Cetaceans
F_offshore_ceta,74,3,Harvest ratio,Harvest ratio offshore,Cetaceans
F_inshore_kelp,75,3,Harvest ratio,Harvest ratio inshore,Macrophytes
F_offshore_kelp,76,3,Harvest ratio,Harvest ratio offshore,Macrophytes
QnQ_coef,77,2,Fishing fleet model,Coefficient,Demersal fish non-quota proportion in catch vs nitrogen mass
QnQ_exp,78,2,Fishing fleet model,Exponent,Demersal fish non-quota proportion in catch vs nitrogen mass
NQus_coef,79,2,Fishing fleet model,Coefficient,Demersal fish non-quota undersize vs nitrogen mass
NQus_exp,80,2,Fishing fleet model,Exponent,Demersal fish non-quota undersize vs nitrogen mass
QLus_coef,81,2,Fishing fleet model,Coefficient,Demersal fish quota-limited undersize vs nitrogen mass
QLus_exp,82,2,Fishing fleet model,Exponent,Demersal fish quota-limited undersize vs nitrogen mass
D_inshore_pelagic,83,2,Fishing fleet model,Discard rate inshore,Planktivorous fish
D_offshore_pelagic,84,2,Fishing fleet model,Discard rate offshore,Planktivorous fish
D_inshore_demersal,85,2,Fishing fleet model,Discard rate inshore,Demersal fish
D_offshore_demersal,86,2,Fishing fleet model,Discard rate offshore,Demersal fish
D_demersal,87,2,Fishing fleet model,Discard rate all areas,Demersal fish all areas
D_inshore_migratory,88,2,Fishing fleet model,Discard rate inshore,Migratory fish
D_offshore_migratory,89,2,Fishing fleet model,Discard rate offshore,Migratory fish
D_inshore_filtben,90,2,Fishing fleet model,Discard rate inshore,Suspension/deposit feeding benthos
D_offshore_filtben,91,2,Fishing fleet model,Discard rate offshore,Suspension/deposit feeding benthos
